lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
1,2024-01-01,1,1,1,1,2,1,06:14,6,14,11:31,11,31,05:17,5,17,317,1,0,0,04:11:00,4,11,251,66,TRUE
2,2024-01-02,1,1,1,1,3,2,23:17,23,17,07:57,7,57,08:40,8,40,520,6,0,0,08:20:00,8,20,500,20,FALSE
3,2024-01-03,1,1,1,1,4,3,23:49,23,49,09:24,9,24,09:35,9,35,575,7,0,0,09:14:00,9,14,554,21,FALSE
4,2024-01-04,1,1,1,1,5,4,00:45,0,45,09:48,9,48,09:03,9,3,543,8,0,0,08:42:00,8,42,522,21,TRUE
5,2024-01-05,1,1,1,1,6,5,00:33,0,33,06:06,6,6,05:33,5,33,333,1,0,0,05:30:00,5,30,330,3,TRUE
6,2024-01-06,1,1,1,1,7,6,23:39,23,39,07:03,7,3,07:24,7,24,444,2,0,0,07:02:00,7,2,422,22,FALSE
7,2024-01-07,1,1,1,2,1,7,23:54,23,54,08:47,8,47,08:53,8,53,533,5,0,0,08:31:00,8,31,511,22,FALSE
8,2024-01-08,1,1,1,2,2,8,23:14,23,14,08:26,8,26,09:12,9,12,552,5,0,0,08:05:00,8,5,485,67,FALSE
9,2024-01-09,1,1,1,2,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-01-10,1,1,1,2,4,10,00:14,0,14,07:19,7,19,07:05,7,5,425,3,0,0,06:54:00,6,54,414,11,TRUE
11,2024-01-11,1,1,1,2,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-01-12,1,1,1,2,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-01-13,1,1,1,2,7,13,01:19,1,19,09:27,9,27,08:08,8,8,488,5,0,0,07:51:00,7,51,471,17,TRUE
